,leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
0,38000000.0,38000000.0,38000000.0,,38000000.0,,38000000.0,,,,38000000.0,38000000.0,,38000000.0,38000000.0,,,38000000.0,,38000000.0,,,,,,38000000.0,,38000000.0,,38000000.0,,38000000.0,,38000000.0,38000000.0,,,38000000.0,38000000.0
1,600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,,,,,,,,600000.0,,,,,,,,,,,,,600000.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,2000000.0,,,,,,,2000000.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,2800000.0,,,,2800000.0,,,,2800000.0,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,2800000.0,2800000.0,,,,,,,,,,2800000.0,,,,,,2800000.0
6,,,,164000.0,,164000.0,,,,,,,164000.0,164000.0,164000.0,,164000.0,,,164000.0,,,,,,164000.0,,164000.0,,,,,,,,164000.0,,164000.0,164000.0
7,600000.0,,,,,,600000.0,,,,,,,,600000.0,600000.0,,,,,,,,600000.0,,600000.0,,,,,,,,,,,,,600000.0
8,979000.0,979000.0,979000.0,979000.0,979000.0,979000.0,,,,979000.0,979000.0,979000.0,,979000.0,979000.0,979000.0,,979000.0,979000.0,,,,,,,,,,979000.0,,979000.0,,,979000.0,979000.0,979000.0,,979000.0,979000.0
9,,,,,,,,460000.0,,,,,,,,,,,,,460000.0,460000.0,,,,,,,,,,,,,,,,,460000.0
10,,,1100000.0,,,,,,,,,,,,,,1100000.0,,,,1100000.0,,,,,,,,,,,,,,,,,,1100000.0
11,,,16000000.0,,,,,,,,,,16000000.0,16000000.0,,,,,,16000000.0,,,,,16000000.0,,,,,,,16000000.0,,,,,,,16000000.0
12,,,,,,,,,354000.0,,354000.0,,354000.0,354000.0,354000.0,,,354000.0,,,,,,,,,,,,,,,,,,,,,354000.0
13,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0
16,,200000.0,200000.0,200000.0,,,,,200000.0,,200000.0,200000.0,,,,,,,200000.0,,200000.0,,,,,,200000.0,,,,,,200000.0,,200000.0,,,200000.0,200000.0
17,3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,,,3600000.0,,3600000.0,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0
18,2786000.0,,,,,,,,,,,2786000.0,,,,,,,,,,,,,,,,,,,2786000.0,,,,,,,,2786000.0
19,,,,,,,,,,,,,,,40000.0,,,,40000.0,,,,,,,,,40000.0,,,,,,,,,40000.0,,40000.0
20,,,,,,,,,1600000.0,,1600000.0,,,1600000.0,1600000.0,,,,,1600000.0,,,,,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,,,,,,,1600000.0,,,1600000.0
21,3266666.66,3266666.66,,,3266666.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266666.66
22,,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0
23,14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,,,14886000.0,14886000.0,14886000.0,,14886000.0
24,,,,,833333.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833333.34
25,,,,,,,,400000.0,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,400000.0,400000.0,400000.0
26,,,,,,,6500000.0,,,6500000.0,,,,,,,,6500000.0,,6500000.0,,,6500000.0,,,,6500000.0,,,,,,,,6500000.0,,,,6500000.0
27,,,1700000.0,1700000.0,,,1700000.0,,1700000.0,,,,,,,,,,,1700000.0,,,,,,,,,,,,,,,,,,,1700000.0
28,,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,,,933333.34,,933333.34,933333.34
29,4000000.0,,,4000000.0,,,,4000000.0,4000000.0,,,,,,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,,,4000000.0,,4000000.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20000000.0,,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,,,,,,20000000.0,20000000.0,,,,,,,,,,,,,,,,,,,20000000.0
32,4666666.66,,,,,,,,,4666666.66,,,,4666666.66,,4666666.66,4666666.66,,,,,,,,,,,,,,4666666.66,,,,,,,,4666666.66
33,,,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0
34,,,,,,,,,,,,,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,890000.0
35,6000000.0,,,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,,,,,,,,,,6000000.0,,6000000.0,,,6000000.0,,6000000.0,6000000.0,6000000.0,6000000.0,,,6000000.0,,,,6000000.0,,6000000.0,6000000.0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,2000000.0,2000000.0,2000000.0,,,,,,,2000000.0,,,,,2000000.0,,,,,,,,,,,,,,,,,2000000.0
